proyecto_id,fecha,autor,categoria,metodo_match,diputado_id,fuente_mandato,bloque,familia,distrito,region,presidencia,gobierno,tipo,dominio,orientacion,saliencia
HCDN234291,2019-07-18,"DE MENDIGUREN, JOSE IGNACIO",diputado,exacto_vigente,HCDN0668,hcdn,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,peronismo_federal,BUENOS AIRES,PAMPEANA,macri_2015_2019,no,RESOLUCION,A,administrativa_neutra,explicita
HCDN234337,2019-07-23,"LEHMANN, MARIA LUCILA",diputado,exacto_vigente,HCDN2389,hcdn,COALICION CIVICA,cc_ari,SANTA FE,PAMPEANA,macri_2015_2019,si,LEY,A,administrativa_neutra,explicita
HCDN234816,2019-08-15,"DERNA, VERONICA",diputado,exacto_vigente,HCDN2438,hcdn,FRENTE DE LA CONCORDIA MISIONERO,provinciales,MISIONES,NEA,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN235390,2019-09-10,"STEFANI, HECTOR ANTONIO",diputado,exacto_vigente,HCDN2422,hcdn,PRO,pro,TIERRA DEL FUEGO,PATAGONIA,macri_2015_2019,si,RESOLUCION,D,administrativa_neutra,relacionada
HCDN236723,2019-11-13,"NEGRI, MARIO RAUL",diputado,exacto_vigente,HCDN0035,hcdn,UCR,ucr,CORDOBA,PAMPEANA,macri_2015_2019,si,RESOLUCION,C,administrativa_neutra,relacionada
HCDN236740,2019-11-14,"CARMONA, GUILLERMO RAMON",diputado,exacto_vigente,HCDN1247,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,MENDOZA,CUYO,macri_2015_2019,no,LEY,C,administrativa_neutra,relacionada
HCDN238252,2020-03-06,"AUSTIN, BRENDA LIS",diputado,exacto_vigente,HCDN1582,hcdn,UCR,ucr,CORDOBA,PAMPEANA,fernandez_2019_2023,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN239876,2020-04-27,"IGLESIAS, FERNANDO ADOLFO",diputado,exacto_vigente,HCDN1031,hcdn,PRO,pro,CIUDAD DE BUENOS AIRES,CABA,fernandez_2019_2023,no,RESOLUCION,C,administrativa_neutra,relacionada
HCDN239932,2020-04-29,"LENA, GABRIELA",diputado,exacto_vigente,HCDN2771,hcdn,UCR,ucr,ENTRE RIOS,PAMPEANA,fernandez_2019_2023,no,DECLARACION,C,pro_liberalizacion,relacionada
HCDN239939,2020-04-29,"ENRIQUEZ, JORGE RICARDO",diputado,exacto_vigente,HCDN2435,hcdn,PRO,pro,CIUDAD DE BUENOS AIRES,CABA,fernandez_2019_2023,no,RESOLUCION,C,administrativa_neutra,relacionada
