proyecto_id,anio,tipo,dominio,marco,titulo
HCDN116482,2010,RESOLUCION,B,ue_otro,"SOLICITAR AL PODER EJECUTIVO DISPONGA ABSTENERSE DE REALIZAR PRACTICAS UNILATERALES DE RESTRICCION COMERCIAL A PRODUCTOS PROVENIENTES DE LA ""UNION EUROPEA"" Y DE PAISES ""MIEMBROS DEL MERCADO COMUN DEL SUR""."
HCDN116609,2010,RESOLUCION,C,externo,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LA EXISTENCIA DE PUERTOS EN PAISES MIEMBROS DEL MERCOSUR DESDE LOS QUE HAYAN PARTIDO BUQUES A LAS ISLAS MALVINAS, GEORGIAS Y SANDWICH DEL SUR."
HCDN116670,2010,MENSAJE,C,externo,"COMUNICACION DEL DECRETO 688/10, POR EL CUAL SE ADOPTAN DISPOSICIONES DE LA DIRECTIVA 14 DEL 4 DE SEPTIEMBRE DE 2009 DE LA COMISION DE COMERCIO DEL MERCOSUR, SOBRE TRATAMIENTO ARANCELARIO PARA LA IMPORTACION DE ARPILLERA DE YUTE."
HCDN116671,2010,MENSAJE,C,externo,"COMUNICACION DEL DECRETO 687/10 POR EL CUAL SE ADOPTAN LAS DISPOSICIONES DE LA DIRECTIVA 24 DEL 19 DE NOVIEMBRE DE 2009 DE LA COMISION DE COMERCIO DEL MERCOSUR - CCM, SOBRE TRATAMIENTO ARANCELARIO PARA LA IMPORTACION DE AISLANTE DE RESINA EPOXI Y FIBRA DE VIDRIO, PARA CIRCUITOS IMPRESOS."
HCDN116799,2010,MENSAJE,C,externo,"COMUNICACION DEL DECRETO 608/2010, POR EL CUAL SE INCORPORAN DIVERSAS REFERENCIAS EN EL ANEXO IX DEL DECRETO 509/2007 (AJUSTE DE LA LISTA ARGENTINA DE EXCEPCIONES AL ARANCEL EXTERNO COMUN DEL MERCOSUR)."
HCDN117188,2010,MENSAJE,C,externo,"COMUNICACION DEL DECRETO 743/10, POR EL CUAL SE ADOPTAN LAS DISPOSICIONES DE LA RESOLUCION 30 DE FECHA 18 DE SEPTIEMBRE DE 2008 DEL GRUPO MERCADO COMUN, SOBRE MODIFICACION DE LA NOMENCLATURA COMUN DEL MERCOSUR Y SU CORRESPONDIENTE ARANCEL EXTERNO COMUN."
HCDN117183,2010,MENSAJE,C,externo,"COMUNICACION DEL DECRETO 761/10 POR EL CUAL SE SUSTITUYE EN EL ANEXO XIV DEL DECRETO 509/07 Y SUS MODIFICACIONES, LA POSICION ARANCELARIA DE LA NOMENCLATURA COMUN DEL MERCOSUR, N.C.M. - 1517.90.10, REFERENCIA - 9 - Y EL DERECHO DE EXPORTACION."
HCDN117359,2010,RESOLUCION,C,externo,EXPRESAR BENEPLACITO POR LA CREACION DEL FORO DE LEGISLADORES REGIONALES Y LOCALES DEL MERCOSUR APROBADO EN LA XXIV SESION ORDINARIA DEL PARLAMENTO DEL MERCOSUR.
HCDN117459,2010,MENSAJE,C,externo,"COMUNICACION DEL DECRETO 805/10 POR EL CUAL SE ADOPTAN LAS DISPOSICIONES DE LA DIRECTIVA 12 DEL 21 DE JULIO DE 2009 Y DE SU CORRESPONDIENTE FE DE ERRATAS, SOBRE TRATAMIENTO ARANCELARIO PARA LA IMPORTACION DE LAS HOJAS DE ALUMINIO PARA FABRICACION DE CAPACITORES."
HCDN117694,2010,LEY,B,ue_otro,REGIMEN DISTRIBUTIVO PARA EL CUPO TARIFARIO DE CORTES ENFRIADOS VACUNOS SIN HUESO DE ALTA CALIDAD ASIGNADOS ANUALMENTE POR LA UNION EUROPEA Y PARA CUALQUIER OTRO CUPO TARIFARIO DE EXPORTACION
HCDN117708,2010,RESOLUCION,B,externo,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LOS MOTIVOS POR LOS CUALES SE INCUMPLIO CON EL ENVIO DE LA CUOTA HILTON PARA EL PERIODO 2009-2010.
HCDN118245,2010,DECLARACION,C,externo,"DECLARAR DE INTERES DE LA HONORABLE CAMARA DE DIPUTADOS DE LA NACION EL V CERTAMEN DE FORMACION EN VALORES EN EL MERCOSUR EDUCATIVO 2009 ""MANOS JOVENES ESCRIBEN EN GRANDE"", A REALIZARSE EL DIA 30 DE AGOSTO DE 2010 EN LA CIUDAD AUTONOMA DE BUENOS AIRES."
HCDN118523,2010,LEY,C,externo,REGIMEN ELECTORAL PARA ELECCION DIRECTA DE PARLAMENTARIOS DEL MERCOSUR; INCORPORACION DE DOCE ARTICULOS COMO TEXTO DE LA LEY 19945 DE CODIGO ELECTORAL NACIONAL Y MODIFICATORIAS AL TITULO VII DEL CAPITULO IV.
HCDN118756,2010,RESOLUCION,C,externo,"DECLARAR DE INTERES DE LA CAMARA LA XXXIX CUMBRE DEL MERCOSUR, LOS DIAS 2 Y 3 DE AGOSTO DE 2010 EN LA PROVINCIA DE SAN JUAN."
HCDN119348,2010,DECLARACION,B,ue_otro,"EXPRESAR BENEPLACITO POR LA AMPLIACION DE LOS NUEVOS CUPOS DE LA CUOTA HILTON CON DESTINO A LA UNION EUROPEA, ASIGNADOS PARA EL PERIODO 2010-2011 EN LA PROVINCIA DEL CHACO."
HCDN119870,2010,DECLARACION,C,externo,"EXPRESAR SATISFACCION POR LA APROBACION DEL NUEVO REGLAMENTO DEL FONDO DE CONVERGENCIA DE MERCOSUR - FOCEM - EN LA XXXIX CUMBRE DE JEFES DE ESTADO DE MERCOSUR, CELEBRADO EN LA CIUDAD DE SAN JUAN ."
HCDN120081,2010,LEY,B,externo,REGIMEN DE DISTRIBUCION DE CUPOS DE EXPORTACION DE CORTES DE CARNE VACUNAS DE ALTA CALIDAD (CUOTA HILTON).
HCDN120106,2010,LEY,C,externo,REGIMEN DEL SISTEMA ELECTORAL PARA ELECCION DIRECTA DE PARLAMENTARIOS DEL MERCOSUR; MODIFICACION DE LA LEY 19945 (TO 1983) Y MODIFICATORIAS.
HCDN120131,2010,LEY,C,externo,"ELECCION DE PARLAMENTARIOS DEL MERCOSUR: MODIFICACION DEL CODIGO ELECTORAL NACIONAL, LEY 19945, Y DE LA LEY 26215, DE FINANCIAMIENTO DE LOS PARTIDOS POLITICOS."
HCDN120471,2010,LEY,B,externo,CUOTA HILTON: REGIMEN JURIDICO APLICABLE PARA LA DISTRIBUCION DEL CUPO TARIFARIO DE CORTES ENFRIADOS SIN HUESO DE ALTA CALIDAD.
HCDN120516,2010,DECLARACION,C,externo,"SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA INCORPORAR CONTENIDOS MINIMOS SOBRE EL ""MERCADO COMUN DEL SUR - MERCOSUR -"", DENTRO DE LA CURRICULA ESCOLAR."
HCDN120625,2010,MENSAJE,C,externo,"COMUNICACION DEL DECRETO 1190/2010 POR EL CUAL SE ADOPTAN LAS DISPOSICIONES DE LA DECISION 28 DEL 7 DE DICIEMBRE DE 2009 DEL CONSEJO DEL MERCADO COMUN, SOBRE MANTENER EXCEPCIONES AL ARANCEL EXTERNO COMUN HASTA 100 ITEMS ARANCELARIOS HASTA EL 31 DE DICIEMBRE DE 2011."
HCDN115461,2010,DECLARACION,C,externo,"EXPRESAR PREOCUPACION POR LA DECLARACIONES DE JOSE SERRA, CANDIDATO PRESIDENCIAL DEL PARTIDO SOCIAL DEMOCRATA DE BRASIL (PSDB) SOBRE LA CONTINUIDAD DEL MERCOSUR."
HCDN119747,2010,DECLARACION,C,externo,"SOLICITAR AL PODER EJECUTIVO DISPONGA GESTIONAR ANTE EL ""PARLAMENTO DEL MERCOSUR - PARLASUR -"", LA ADHESION AL PEDIDO DE LA JUSTICIA ARGENTINA PARA PROCEDER A LA EXTRADICION DE FUNCIONARIOS IRANIES IMPLICADOS Y ACUSADOS EN LA CAUSA POR EL ATENTADO A LA ""ASOCIACION MUTUAL ISRAELITA ARGENTINA - AMIA -."""
